☆ 第1页 ☆
广东省社科重大项目“广东劳动关系转型与企业创新升级之路”开题 ☛ 20150429
许建康研究员来我院讲学 ☛ 20150429
西南财经大学傅十和副教授来我院讲学 ☛ 20150427
胡靖教授接受人民日报社《环球人物》专访 ☛ 20150421

☆ 第12页 ☆
克兰学者伟利奇科·瓦连京博士莅临我院讲学 ☛ 20150421
胡靖教授接受《农民日报》记者专访 ☛ 20150416
马斌教授接受广东电视台采访 ☛ 20150414
我院召开新形势下国际贸易教材改革研讨会 ☛ 20150414
院邬锦雯教授与香港康宏集团开展投资行为研究项目研讨会 ☛ 20150413
我院2014级开展新生党员教育活动 ☛ 20150410
我院马斌教授接受广东电视台采访 ☛ 20150408
我院陈创练副教授参加房地产及金融形势分析研讨会 ☛ 20150408
世界银行高级经济学家王德文莅临 “华南经济论坛”讲学 ☛ 20150407
复旦大学罗长远副教授讲座开讲 ☛ 20150407
2011级、2012级人力资源管理系分享交流会圆满举办 ☛ 20150403
宁波大红鹰学院电商学院到我院考察交流 ☛ 20150403
广州图书馆方家忠馆长莅临我院讲学 ☛ 20150402
我院14级新生参观羊城创意产业园 ☛ 20150330
我院谌新民、张华初教授参加合作共建人力资源与社会发展研究平台研讨会 ☛ 20150326
我院举行金融硕士导师陈平女士聘任仪式暨专题讲座 ☛ 20150325
我院工会组织教职工到学校扶贫点开展帮扶活动 ☛ 20150325
我院获批六门第二批“大学生创新创业研究”课程立项 ☛ 20150324
胡靖教授出席“两岸三地”生态农业与社区支持农业CSA工作坊 ☛ 20150323
我校获授首批“广东省决策咨询研究基地” ☛ 20150316

☆ 第13页 ☆
我院董志强教授和魏下海副教授合作论文被国际权威经济学杂志接受 ☛ 20150313
我院三位教师当选广东省高等学校本科教学指导委员会委员 ☛ 20150312
刘纪显教授受聘广州市财政专家咨询委员会委员 ☛ 20150122
我院召开2015年人才培养工作会议 ☛ 20150116
我院召开党员领导干部民主生活会 ☛ 20150114
华南经济论坛之2015新年学术研讨会顺利举行 ☛ 20150112
我院喜获研究生就业先进单位一等奖和新生教育工作一等奖 ☛ 20150109
浙江师范大学经济与管理学院来访我院 ☛ 20150108
美国韦恩州立大学Sarah Swider博士来我院讲学 ☛ 20150107
我院教师中标世界银行和广东省人社厅联合招标项目 ☛ 20150102
罗珊教授、蔡一鸣副教授参加2014广东社会科学学术年会并获奖 ☛ 20141229
中山大学李新春教授作客“励儒讲坛”第十五讲 ☛ 20141227
华南理工大学刘善仕教授莅临我院开讲“励儒讲坛”第十四讲 ☛ 20141227
我院在2014年全校趣味运动会中喜获团体总分第三名 ☛ 20141226
马斌教授本月24日接受广东卫视采访 ☛ 20141226
我校获批顺德人力资源协会博士后创新基地 ☛ 20141223
吴明琴副教授参加第八届香港经济学会双年度国际会议 ☛ 20141223
连洪泉博士出席第十四届中国经济学年会 ☛ 20141223
我院与《跨国公司评论》杂志共同举办“国际学术期刊论文写作与发表”研讨会 ☛ 20141217
西南财经大学龚强教授开讲 ☛ 20141217

☆ 第14页 ☆
新加坡国立大学助理教授易君健博士开讲 ☛ 20141217
《凤凰周刊》报道我院教授研究成果 ☛ 20141216
董志强、魏下海出席中国制度经济学年会 ☛ 20141216
高波教授参加2014年中国图书馆学会年会并主持“图书馆绩效与价值评价分会场”会议 ☛ 20141215
我院与广州电子商务行业协会建立战略合作基地 ☛ 20141211
我院教师参加广东省技术经济和管理现代化研究会年会暨2014年广东省高校管理学院院长联席会议 ☛ 20141208
第122期“华南经济论坛”叶菁菁博士开讲 ☛ 20141208
澳门大学博士袁嘉学术开讲 ☛ 20141208
上海财经大学高等研究院副研究员孟大文讲座开讲 ☛ 20141208
会计系教师参加新会计准则培训 ☛ 20141204
我院学生在2014年校运会中取得优异成绩 ☛ 20141202
董志强教授出席广东智库联盟2014年年会 ☛ 20141201
董志强教授出席广东环境经济与政策研究会2014年会 ☛ 20141201
新西兰林肯大学Christopher Gan教授来我院讲学 ☛ 20141201
曹宗平教授、刘汉辉副教授参加中国企业管理案例与质性研究论坛（2014） ☛ 20141127
江波、俞梅珍教授参加中国第六次（2014）人的发展经济学研讨会 ☛ 20141127
胡靖教授出席广东农学会年会 ☛ 20141126
束漫教授：为知识而汇聚——记第80届国际图联法国里昂大会 ☛ 20141126
我院成功举办第一届信息素养大赛 ☛ 20141126
我院举行人力资源管理系本科专业毕业实习分享会 ☛ 20141124

☆ 第15页 ☆
财务处张友昌副处长一行来我院讲解财务行为规范 ☛ 20141121
海峡两岸经济学与政策模拟研究学术研讨会在我校举行 ☛ 20141118
第119期“华南经济论坛”陈钊、陆铭教授开讲 ☛ 20141118
熠熠青春，活力无限——记经济与管理学院第十一届运动会 ☛ 20141117
梁莹博士参加第四届（2014）中国经济学创新与发展国际研讨会 ☛ 20141117
我院获多项校级本科教学质量与教学改革工程项目立项 ☛ 20141117
我院人力资源管理专业开展本科教学评估 ☛ 20141113
我院会计学专业开展本科教学评估 ☛ 20141113
我院物流管理专业开展本科专业评估 ☛ 20141112
我院电子商务专业开展本科专业评估 ☛ 20141112
我院国际经济与贸易专业开展本科专业评估 ☛ 20141111
我院金融学专业开展本科专业评估 ☛ 20141111
清华大学助理教授刘潇开讲 ☛ 20141110
上海财经大学杜宁华副教授开讲 ☛ 20141110
我院董志强、王智波教授等参加三校经济学联谊会 ☛ 20141106
南开大学博士王增业讲座开讲 ☛ 20141106
我院获批应用经济学博士后科研流动站 ☛ 20141105
我院与广州品众网络科技有限公司达成战略合作 ☛ 20141101
经济行为与管理决策虚拟仿真实验教学中心 获得推荐国家级虚拟仿真实验教学中心 ☛ 20141029
我院拟与我国航母级互联网企业唯品会展开战略合作 ☛ 20141023

☆ 第16页 ☆
中国社科院王国成教授讲座开讲 ☛ 20141023
刘愿副教授应邀参加中国青年经济学家联谊会并主讲北大经济史学名家系列讲座 ☛ 20141022
谈大军副教授应邀参加第一届信息获取与知识服务国际学术会议 ☛ 20141021
我院教师参加中国劳动学会劳动科学教育分会2014年年会 ☛ 20141021
第118期“华南经济论坛”王岳龙博士开讲 ☛ 20141021
中山大学岭南学院连玉君副教授讲座开讲 ☛ 20141021
第117期“华南经济论坛”我院三位老师开讲 ☛ 20141021
我院2015年拟接收推荐免试攻读硕士学位研究生名单公示（第二批） ☛ 20141020
我院教师获湖北省社科期刊优秀文章一等奖 ☛ 20141016
我院举行2014年省级质量工程和教学改革项目论证开题会议 ☛ 20141016
学院召开中青年教师科研和学科建设座谈会 ☛ 20141015
胡靖教授应邀出席＂食品主权与我国大豆产业安全＂国际学术研讨会 ☛ 20141015
陈创练博士参加国家自科基金交流会 ☛ 20141013
我院2015年拟接收推荐免试攻读硕士学位研究生名单公示 ☛ 20141011
我院学子参与大清扫活动积极预防登革热 ☛ 20141009
我院关于2015年硕士推免生复试安排的通知 ☛ 20140930
我院获四项省级本科教学质量与教学改革工程项目立项（附项目论证开题通知） ☛ 20140930
我院荣获2014级新生军训“标兵连队”等称号 ☛ 20140929
第116期“华南经济论坛”之杨子晖副教授讲座开讲 ☛ 20140928
我院获批1项国家社科基金后期资助项目 ☛ 20140928

☆ 第17页 ☆
西南财经大学张彤副教授来我院讲学 ☛ 20140928
我院举行广州二汽实习总结会 ☛ 20140924
我院深圳三和实业实习生结束实习回校 ☛ 20140924
我院2015年接收推荐免试攻读硕士研究生公告 ☛ 20140922
程振源教授应邀参加中国优选法统筹法与经济数学研究会年会 ☛ 20140922
我院召开2014年学生骨干纪律教育座谈会 ☛ 20140922
用友新道公司一行来访我院 ☛ 20140919
我校获批金融硕士专业学位授权点 ☛ 20140916
我院隆重召开2014级新生开学典礼 ☛ 20140911
魏下海等获第六届中国人口科学优秀成果一等奖 ☛ 20140903
我院获批2项国家自然科学基金项目 ☛ 20140819
我院许晶华教授接受央视新闻联播采访 ☛ 20140808
罗双发老师在国务院扶贫办培训班上授课 ☛ 20140731
院领导赴连南县寨岗镇社墩村看望“三下乡”学生队伍 ☛ 20140724
刘愿副教授应邀参加第二届量化历史研究国际学术研讨会 ☛ 20140711
我院教授喜获全国商务发展优秀研究成果奖 ☛ 20140711
张华初教授参加2014新型城镇化与流动人口社会融合论坛 ☛ 20140710
我院会计系与用友新道科技有限公司签约及挂牌仪式 ☛ 20140709
