text,reply_text,name,source,comment_id,reply_name
乐天把店里的货全部捐赠给三胖吧， 下次核试验弄点小泄露， 你的仇就可以报了,-,DE-WA-OH,微博搜索,4087506473748716,-
回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:有毛病的sb,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,麻麻的话很对,iPhone 6 Plus,4087506456659512,穿啥裤子都往下掉
爽的嘞,-,Molly_ning,iPhone 6s,4087506456313760,-
没看到停止营业还支付雇员工资？ 你们是智障了还是看不清楚中文？ 一个个傻狗一样跪舔棒子企业,-,iamcharlee,荣耀8 美得与众不同,4087506414555896,-
早點滾,-,风扬涛涛,华为P8青春版,4087506405869650,-
回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:懂不懂供求关系？！既然乐天撤了，就会有下一批乐天，没了乐天中国人就失业了？,希望政府能安顿中国员工吧。。,鹿纯LC,iPhone 6s,4087506397749120,猫巷里的树语
改革开放，招商引资进来的外资，就这么闹，你当外资投资的时候傻，人也得衡量衡量吧,-,自娱自乐自话自说,iPhone 6 Plus,4087506389090013,-
回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:最担心的就是这个问题，希望政府妥善安置,希望政府能安顿中国员工吧。。,GEMemory球球,荣耀手机 勇敢做自己,4087506384894510,猫巷里的树语
回复<a href='http://m.weibo.cn/n/凯乾福'>@凯乾福</a>:国家表态就代表政府行为了，这件事是百姓自主行为，表面上没有正面交锋，一边可以抵制达到效果，又不影响其他政治，你不是公知么？你们不是什么都懂么？,小粉红，“国家会安排下岗职工的”。虽然国家并没有表这个态。,来自月球的屠隆刀,iPhone 6,4087506372885802,凯乾福
我先开始，热门那些卖国贼统统举报，考验团结一致的时刻到了。,-,瓶渣,Android,4087506334554469,-
关了几十家乐天，就有些圣母婊觉得好像全国人民都失业了。。国家不强大，哪有你们在这里酸言酸语做键盘侠。。无知就多看看国际形势，你如此安居乐业的成长坏境到底是怎么来的。。国家与国家的政治博弈，岂是我们眼前这点利益能衡量的。,-,浅浅嗳S,iPhone 6,4087506330871531,-
从另一个角度来说，乐天还是一只很乖的狗，在本国听主人的话。在外人家看得懂户主的脸色。,-,皮带大爷被封了,iPhone 6s,4087506330527375,-
回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:你别理会那些抨击你的人 一个人一个观点 有些人就是直男癌 觉得自己什么都对 你管人家妈怎么着呢 他代表不了他妈咋的了 你能代表？智障一样瞎怼,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,蓝莓Sweety,iPhone 7,4087506313722747,maliry98
回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:迄今为止，尚未有一个乐天失业员工闹事,希望政府能安顿中国员工吧。。,性感的我是个读书人,红米Pro,4087506305189484,猫巷里的树语
"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:我特意去点了看了下<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_weiqu-83e444b6cb.png"" style=""width:1em;height:1em;;""></span>我TM太单纯了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-775c6c63ae.png"" style=""width:1em;height:1em;;""></span>",你们有没有发现微博的赞变成蓝色了,我叫潘潘啊,HUAWEI nova手机,4087506276253385,说个晚安
"为什么我看到都是公知高潮了 这些人怕是自己到时候也是这种下场吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_kun-75bdffbb9b.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_kun-75bdffbb9b.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_kun-75bdffbb9b.png"" style=""width:1em;height:1em;;""></span>",-,AkaHippo3,iPhone 6 Plus,4087506267761992,-
"回复<a href='http://m.weibo.cn/n/liberum'>@liberum</a>:韓國到想告中國，但是它苦於沒有證據只能吃啞巴虧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>",回复<a href='http://m.weibo.cn/n/淡淡花青灰Z'>@淡淡花青灰Z</a>:核弹近还是萨德近？核弹杀伤大还是萨德杀伤大？独裁者威胁大还是民选总统威胁大？脑子真踏马是个好东西，可惜你没有！,风扬涛涛,华为P8青春版,4087506259360871,liberum
