name,comment_id,reply_name,reply_text,source,text
华为P9手机摄影再突破,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:你这智商还是告别世界吧,4087668373574882,闹完之后，下岗的都是中国的员工,蘑菇蘑菇蘑蘑蘑菇,Kevin君格君格Durant
华为Ascend P6,回复<a href='http://m.weibo.cn/n/风无影134521'>@风无影134521</a>:哟，可以去找别的工作呀,4087668361383469,没人管下岗职工的死活，他们只管&quot;爱国&quot;,一晨一语,风无影134521
OPPO R9s Plus,回复<a href='http://m.weibo.cn/n/受难开始了'>@受难开始了</a>:那也要抵制呀，尽力做一些自己能做的呗。,4087668352166931,回复<a href='http://m.weibo.cn/n/李雪玲WWW'>@李雪玲WWW</a>:现在乐天退出中国了然后呢？萨德还不是照样部署？,李雪玲WWW,受难开始了
小米手机4,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:汉奸就是这样出来的，为了自己的一点蝇头小利不顾国家的安危,4087668327378349,闹完之后，下岗的都是中国的员工,梅小伦会飞,Kevin君格君格Durant
iPhone 6s,回复<a href='http://m.weibo.cn/n/V妙V笑'>@V妙V笑</a>:就是！也不看看哪些为了活命脱掉自己的衣服来证明自己不是恐怖分子的人！我们多幸福！我们要爱国！有国强才有我们吃穿住行！我才有在国际社会被承认我们是个人而不是难民！,4087668297982762,孰轻孰重网友分不清了？等到国没有了，更不用想去哪上班了。这可是军事战略，是国家安身立命的根本，没有了国家安全，我们什么都不是。,大叶菊就叫大叶菊,V妙V笑
魅族 MX5,回复<a href='http://m.weibo.cn/n/温斯顿的花园'>@温斯顿的花园</a>:我们怎么会搞死我们自己的家  我会搞死想搞死我们家的弱智 流氓 和侵略者,4087668247477158,毛左意识形态主导下，忽悠义和团小粉红们摒弃理性与向善，释放出人性中的邪恶与仇恨，然后绑架利用小平路线改革开放30年积累的庞大经济体量和国际外交关系，破坏市场经济公平法治，进而施展毛左们的“反美仇日扶朝压韩灭台骗越买菲” 大战略。。朝思暮想“干死美国”做山大王，结果。。害死中国！,社会主义肉包子,温斯顿的花园
OPPO R9,为什么会没有工作？中国每年关的超市少吗？就上个月我们这还关了一家永辉超市呢，新世纪超市也关了四五家，怎么没人出来为他们说话呀！,4087668227278650,-,为你而来238,-
小米手机4,回复<a href='http://m.weibo.cn/n/margk'>@margk</a>:宁愿当狗不愿当人………,4087668213741454,中国就是个几把国家,青花悬想2010,margk
荣耀8 美得与众不同,这能说明韩国铁了心的支持萨德吗？,4087668159292573,-,神起范,-
华为P9手机摄影再突破,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:就是。有些人就是带节奏的,4087668129847031,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,蘑菇蘑菇蘑蘑蘑菇,maliry98
iPad客户端,"回复<a href='http://m.weibo.cn/n/申hz'>@申hz</a>:起码别国再想损害我国利益时会掂量掂量<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4087668104678425,不知道其他合资外企会不会兔死狐悲,焯妈z,申hz
iPhone 6 Plus,回复<a href='http://m.weibo.cn/n/摄影大师未遂duang'>@摄影大师未遂duang</a>:韩国雇的水军赶紧滚吧 乐天本来就是来赚钱的 如果倒闭了你也得怪中国政府 反正就是天朝的不对 你们棒子永远都是可怜人,4087668050147235,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:评论里好像有很多人什么都懂啊，他们是怎么如此确定一定会有其他超市入住呢？哦，，明白了因为他们不是乐天员工。,录禾,摄影大师未遂duang
iPhone 6,回复<a href='http://m.weibo.cn/n/凯乾福'>@凯乾福</a>:你是小绿帽啊狗东西 ,4087668030100800,小粉红，“国家会安排下岗职工的”。虽然国家并没有表这个态。,衬衫半干_,凯乾福
荣耀7i 翻转吧视界,"就搞乐天<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4087668004555546,-,鬼马星超酷儿童,-
Android客户端,回复<a href='http://m.weibo.cn/n/台灣妹_'>@台灣妹_</a>:你们干嘛骂这妹纸，这妹纸挺好的，多个微博下评论三观都很正，拜托不要误伤友军,4087667999984544,超棒耶。這就是得罪大陸的下場耶,馋嘴儿猫微微,台灣妹_
微博 weibo.com,没有能力制止萨德，就承认人家有维护自身安全的权利，没有更好的武器就阻止乐天营业，觉得没有大国的气度,4087667946343464,-,不共红尘结怨,-
情敵送的iPhone 7 Plus,"回复<a href='http://m.weibo.cn/n/深深鍀笑'>@深深鍀笑</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-4cbb6a297e.png"" style=""width:1em;height:1em;;""></span>你怎么回复我的评论上了",4087667928597709,回复<a href='http://m.weibo.cn/n/大王Curtain'>@大王Curtain</a>:你是乐天里面的冲厕所的吧！卧槽，只知道工资工资，你妈白养你了,大王Curtain,深深鍀笑
华为P9手机摄影再突破,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:超市很多 你不要太看得起棒子谢谢,4087667916265998,希望政府能安顿中国员工吧。。,蘑菇蘑菇蘑蘑蘑菇,猫巷里的树语
荣耀3C畅玩版,回复<a href='http://m.weibo.cn/n/夏天快来啊你倒是'>@夏天快来啊你倒是</a>:为啥都抬举他是公知啊，公知起码是知识分子，他就是个老愤青,4087667916264934,回复<a href='http://m.weibo.cn/n/凯乾福'>@凯乾福</a>:你的微博全都是政治言论，专业公知，你骂呗，我们大部分年轻人也就是未来的一代人出国门见识过，不是你说什么就是什么的！,stellacq,夏天快来啊你倒是
OPPO R7s,"祖国让抵制谁就抵制谁，让我恨谁我就恨谁<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span> ",4087667912065768,-,吃饭睡觉养嗅嗅,-
iPhone客户端,"感觉水军的水平越来越低了呀<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",4087667891435948,-,纳凉大人,-
魅族 MX5,回复<a href='http://m.weibo.cn/n/国服第一小乔啊'>@国服第一小乔啊</a>:所以你要为了一个企业毁了一个国政么？笑话,4087667870069276,一个国政策毁了一个企业,社会主义肉包子,国服第一小乔啊
微博搜索,"讲真，让他们损失7.1920亿人民币真不多，要作死就要不怕死<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",4087667816085891,-,谁言了伤却伤了谁,-
华为P9手机摄影再突破,全倒闭最好,4087667807079382,-,蘑菇蘑菇蘑蘑蘑菇,-
iPhone 7 Plus,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:这里面好多卖国贼🙃,4087667765091412,下岗下岗下岗你妹啊？国家到时候都没了你们还在为自己一些蝇头小利斤斤计较！告诉你们乐天没了肯定会有其他超市取而代之，这是市场规则，还一个个挺会说话的样子，傻x。,少女不怕老,孔小孔1992
盗版的Android,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:这层楼里圣母婊真多,4087667702362912,希望政府能安顿中国员工吧。。,_灼喉,猫巷里的树语
魅蓝 Note,又不是铁饭碗工作，失去了有点可惜但不至于有什么影响吧，超市这种工作太好找了好嘛，年纪大的超市也会辞退，年轻人也不甘心局限在一个超市，那些“忧国忧民”的人长点脑子。,4087667693966884,-,temp半醒,-
iPhone 6,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:小粉总看不到核心的一点，政 府能以这么流氓的下三级手段打击对手，就代表有一天当你成为被打击对象时， 他会以更流氓的手段打击你，而不会因为你是他的一条狗！一个国家不存在法治，那不但是对外，更是对内！啊，我说的是朝 鲜！,4087667685205494,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,esun123,穿啥裤子都往下掉
iPhone 6s Plus,"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你还下游供货商 懂得好多啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-ad3f4f182c.png"" style=""width:1em;height:1em;;""></span>   但据我所知 供货商不单单只供一家超市吧 至于 商品人们认的是品牌 不是认的超市 该买什么还是什么  对于制造厂商销量 也影响不是太大吧",4087667677275937,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",justmylove_,羞涩的起哄架秧子星人
