source,reply_name,reply_text,comment_id,text,name
iPhone 6s,章大人GMAT,这么恶劣的投资环境，还有外企会来吗？,4088542382596396,回复<a href='http://m.weibo.cn/n/章大人GMAT'>@章大人GMAT</a>:水平太低了，下一个,-小人-君
iPhone 6s,-,-,4088542223205969,"不懂有些东西，一天天的嫌国家太安定了，总要说点什么不经大脑的激起一点水花才开心<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",-小人-君
OPPO智能手机,-,-,4088535927830838,该,Dragold
红米4,烟嗓阿一,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:没了乐天我中华人民不活了？活不下去了？,4088533084518639,回复<a href='http://m.weibo.cn/n/烟嗓阿一'>@烟嗓阿一</a>:打住 不讨论这个了,恩吉尼尔
够快才畅快vivo X6S,猫巷里的树语,希望政府能安顿中国员工吧。。,4088517552911078,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:傻。。。。,xiaoting肖婷
魅蓝 5,恩吉尼尔,回复<a href='http://m.weibo.cn/n/烟嗓阿一'>@烟嗓阿一</a>:好像你们 才是键盘侠吧。你们抵制乐天，让很多同胞失业，这种拙劣的抵制方式就能阻止萨德不会部署了？,4088489853134629,回复<a href='http://m.weibo.cn/n/恩吉尼尔'>@恩吉尼尔</a>:没了乐天我中华人民不活了？活不下去了？,烟嗓老仙女
微博 weibo.com,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",4088477379131843,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>垃圾，有您好受的，火会烧死您丫的身体，哈哈哈",TONY3093-李诚涌
微博 weibo.com,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",4088477097932160,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;;""></span>垃圾，您还活得自在啦，哈哈哈……",TONY3093-李诚涌
荣耀7 世界有点不同,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>本事就是留给您这些垃圾，有您好受，记住啦，别以为躲在屏幕后就没事，您记好啦，垃圾！",4088475218857630,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:着急了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",风儿向着好花吹
微博 weibo.com,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:哦哟  挺有本事<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4088474900396606,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>本事就是留给您这些垃圾，有您好受，记住啦，别以为躲在屏幕后就没事，您记好啦，垃圾！",TONY3093-李诚涌
